,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,1027,Ethereum,ETH,ethereum,7593,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120267199.24042194,120267199.24042194,True,,2,,,,2023-10-22T18:31:00.000Z,1635.6555706956954,4461364184.020254,8.3492,0.10532979,0.16313856,4.85627766,2.73347371,-2.70128222,-11.44393959,196715714409.56525,17.2954,196715714409.57,,2023-10-22T18:31:00.000Z,,,,,,2023-10-22 18:32:38.334256
2,825,Tether USDt,USDT,tether,64141,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,84154234500.6047,87625667477.0228,True,,3,,,,2023-10-22T18:31:00.000Z,1.0004586767667458,31764783397.10764,5.4846,0.00217875,-0.00478738,0.04090186,0.03577992,0.07035327,0.07593655,84192834092.79341,7.4022,87665859334.87,,2023-10-22T18:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-10-22 18:32:38.334256
3,1839,BNB,BNB,bnb,1690,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151705034.6854829,151705034.6854829,False,,4,,,,2023-10-22T18:31:00.000Z,215.41068303234326,270400691.2751395,8.2011,0.08813509,0.23854237,2.65307101,2.19990694,-0.78547566,-9.51276944,32678885141.045193,2.8731,32678885141.05,,2023-10-22T18:31:00.000Z,,,,,,2023-10-22 18:32:38.334256
4,52,XRP,XRP,xrp,1119,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53441027384.0,99988362642.0,False,,5,,,,2023-10-22T18:31:00.000Z,0.521259354930553,566419605.6687977,-20.105,-0.27417328,-0.65725429,6.56973789,1.34953487,-1.63606836,-25.80299097,27856635461.009857,2.4492,52125935493.06,,2023-10-22T18:31:00.000Z,,,,,,2023-10-22 18:32:38.334256
5,3408,USDC,USDC,usd-coin,14546,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25560968950.93122,25560968950.93122,False,,6,,,,2023-10-22T18:31:00.000Z,0.999983030826599,1975917170.8937645,-0.2358,0.00424697,-0.00495027,-0.00727397,-0.01828828,-0.00904157,0.00648031,25560535202.416794,2.2471,25560535202.42,,2023-10-22T18:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-10-22 18:32:38.334256
6,5426,Solana,SOL,solana,538,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",,416722077.8411571,560555428.784264,True,,7,,,,2023-10-22T18:31:00.000Z,28.776850324914275,766926769.292115,-26.5674,0.01900224,-2.33192849,31.54440845,48.74551943,34.38770831,23.00812224,11991948861.122253,1.0542,16131019672.94,,2023-10-22T18:31:00.000Z,,,,,,2023-10-22 18:32:38.334256
7,2010,Cardano,ADA,cardano,948,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35228606208.488,36274729240.533,False,,8,,,,2023-10-22T18:31:00.000Z,0.26042703291304714,120880179.51384383,-5.6746,0.39457193,-0.18080543,5.45240514,6.73021325,-2.56624852,-14.24549626,9174481388.538681,0.8066,11719216481.09,,2023-10-22T18:31:00.000Z,,,,,,2023-10-22 18:32:38.334256
8,74,Dogecoin,DOGE,dogecoin,811,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141519366383.7052,141519366383.7052,True,,9,,,,2023-10-22T18:31:00.000Z,0.06104378012822179,151584336.33625817,8.6944,0.07369234,-0.30298239,2.53404819,-0.65762526,-4.6778047,-18.1916242,8638877085.412163,0.7595,8638877085.41,,2023-10-22T18:31:00.000Z,,,,,,2023-10-22 18:32:38.334256
9,1958,TRON,TRX,tron,853,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88882248218.43095,88882313760.98747,True,,10,71659659264.0,6449623318.290586,,2023-10-22T18:31:00.000Z,0.09000354431674941,166688044.60104126,-6.8199,-0.17482786,-1.89055729,4.50614173,7.64630223,16.33808752,10.71949943,7999717366.499871,0.7033,7999723265.56,,2023-10-22T18:31:00.000Z,,,,,,2023-10-22 18:32:38.334256
10,11419,Toncoin,TON,toncoin,159,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,11,3414166606.0,7437917967.477557,,2023-10-22T18:31:00.000Z,2.1785456967466916,12419091.38682881,30.7608,0.08549503,2.33113645,12.7519639,-5.38353854,53.33021341,57.8941862,7476533739.183571,0.6573,10996336910.25,,2023-10-22T18:31:00.000Z,,,,,,2023-10-22 18:32:38.334256
